geography_type,geoid,name,acs_period,source_variable,duration,estimate_grandparents_in_duration,moe_grandparents_in_duration,denominator_responsible_grandparents,denominator_moe,percent_of_responsible_grandparents,percent_moe,percent_ci90_lower,percent_ci90_upper,precision_disposition,duration_reconciliation_status
Georgia place,1328440,"Fairfield Plantation CDP, Georgia",2020-2024,B10050_008,Five years or more,0,20,59,68,0,33.89830508474576,0,33.89830508474576,Unavailable MOE or zero percentage,Pass
Georgia place,1328492,"Fairmount city, Georgia",2020-2024,B10050_008,Five years or more,5,6,14,14,35.714285714285715,23.690177073967146,12.024108640318572,59.40446278825286,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1328520,"Fair Oaks CDP, Georgia",2020-2024,B10050_008,Five years or more,14,24,35,44,40,46.61960698141974,0,86.61960698141974,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1328548,"Fairplay CDP, Georgia",2020-2024,B10050_008,Five years or more,6,10,6,10,100,235.70226039551585,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1328632,"Fairview CDP, Georgia",2020-2024,B10050_008,Five years or more,77,104,124,112,62.096774193548384,62.35817338052112,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1328744,"Fargo city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1328968,"Fayetteville city, Georgia",2020-2024,B10050_008,Five years or more,37,62,138,100,26.81159420289855,40.509374968696974,0,67.32096917159552,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1329528,"Fitzgerald city, Georgia",2020-2024,B10050_008,Five years or more,10,18,26,27,38.46153846153847,56.547587347443105,0,95.00912580898157,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1330088,"Flemington city, Georgia",2020-2024,B10050_008,Five years or more,10,10,10,10,100,141.4213562373095,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1330312,"Flovilla city, Georgia",2020-2024,B10050_008,Five years or more,0,14,48,80,0,29.166666666666668,0,29.166666666666668,Unavailable MOE or zero percentage,Pass
Georgia place,1330340,"Flowery Branch city, Georgia",2020-2024,B10050_008,Five years or more,0,23,0,23,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1330424,"Folkston city, Georgia",2020-2024,B10050_008,Five years or more,34,52,59,65,57.6271186440678,61.1328036335134,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1330536,"Forest Park city, Georgia",2020-2024,B10050_008,Five years or more,33,50,105,88,31.428571428571427,39.670781801972026,0,71.09935323054346,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1330732,"Forsyth city, Georgia",2020-2024,B10050_008,Five years or more,0,14,8,13,0,175,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1330816,"Fort Gaines city, Georgia",2020-2024,B10050_008,Five years or more,8,11,22,22,36.36363636363637,34.31742925123068,2.046207112405689,70.68106561486704,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1330956,"Fort Oglethorpe city, Georgia",2020-2024,B10050_008,Five years or more,15,24,15,24,100,226.2741699796952,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1331068,"Fort Stewart CDP, Georgia",2020-2024,B10050_008,Five years or more,0,20,0,20,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1331096,"Fort Valley city, Georgia",2020-2024,B10050_008,Five years or more,31,53,87,84,35.63218390804598,50.27514695516406,0,85.90733086321003,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1331292,"Franklin city, Georgia",2020-2024,B10050_008,Five years or more,15,23,21,25,71.42857142857143,69.02667153178677,2.4018998967846557,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1331320,"Franklin Springs city, Georgia",2020-2024,B10050_008,Five years or more,0,14,18,31,0,77.77777777777779,0,77.77777777777779,Unavailable MOE or zero percentage,Pass
Georgia place,1331684,"Funston city, Georgia",2020-2024,B10050_008,Five years or more,0,14,3,4,0,466.6666666666667,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1331908,"Gainesville city, Georgia",2020-2024,B10050_008,Five years or more,95,89,163,103,58.282208588957054,40.310614513581015,17.97159407537604,98.59282310253806,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1332048,"Garden City city, Georgia",2020-2024,B10050_008,Five years or more,44,54,183,176,24.043715846994537,18.33067906715018,5.713036779844355,42.37439491414472,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1332132,"Gardi CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,5,11,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1332188,"Garfield city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1332384,"Gay town, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1332412,"Geneva town, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1332482,"Georgetown CDP, Georgia",2020-2024,B10050_008,Five years or more,0,23,102,130,0,22.54901960784314,0,22.54901960784314,Unavailable MOE or zero percentage,Pass
Georgia place,1332528,"Georgetown-Quitman County unified government, Georgia",2020-2024,B10050_008,Five years or more,25,26,42,34,59.523809523809526,38.862766657531,20.661042866278528,98.38657618134052,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1332748,"Gibson city, Georgia",2020-2024,B10050_008,Five years or more,49,48,60,48,81.66666666666667,46.16877251514876,35.49789415151791,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1332860,"Gillsville city, Georgia",2020-2024,B10050_008,Five years or more,1,3,1,3,100,424.2640687119285,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1332916,"Girard town, Georgia",2020-2024,B10050_008,Five years or more,2,4,2,4,100,282.842712474619,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1333280,"Glenn CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1333336,"Glennville city, Georgia",2020-2024,B10050_008,Five years or more,107,103,107,103,100,136.13457656488671,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1333392,"Glenwood city, Georgia",2020-2024,B10050_008,Five years or more,0,14,18,29,0,77.77777777777779,0,77.77777777777779,Unavailable MOE or zero percentage,Pass
Georgia place,1333672,"Godfrey CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1333896,"Good Hope city, Georgia",2020-2024,B10050_008,Five years or more,0,14,12,20,0,116.66666666666669,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1333980,"Gordon city, Georgia",2020-2024,B10050_008,Five years or more,11,13,50,42,22,18.289056837354956,3.710943162645045,40.28905683735496,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1334176,"Gough CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1334260,"Graham city, Georgia",2020-2024,B10050_008,Five years or more,18,34,18,34,100,267.1292284482513,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1334428,"Grantville city, Georgia",2020-2024,B10050_008,Five years or more,0,14,31,33,0,45.16129032258064,0,45.16129032258064,Unavailable MOE or zero percentage,Pass
Georgia place,1334512,"Gray city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1334596,"Grayson city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1334876,"Greensboro city, Georgia",2020-2024,B10050_008,Five years or more,0,14,58,94,0,24.13793103448276,0,24.13793103448276,Unavailable MOE or zero percentage,Pass
Georgia place,1335016,"Greenville city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1335240,"Gresham Park CDP, Georgia",2020-2024,B10050_008,Five years or more,18,28,18,28,100,219.9887763691481,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1335324,"Griffin city, Georgia",2020-2024,B10050_008,Five years or more,261,159,289,162,90.3114186851211,21.5423805395899,68.7690381455312,100,Caregiver count MOE exceeds 50% of estimate,Pass
Georgia place,1335716,"Grovetown city, Georgia",2020-2024,B10050_008,Five years or more,39,64,96,114,40.625,46.01234388356334,0,86.63734388356335,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1335800,"Gumbranch city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1335814,"Gumlog CDP, Georgia",2020-2024,B10050_008,Five years or more,16,27,22,30,72.72727272727273,72.29515691813222,0.4321158091405124,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1335884,"Guyton city, Georgia",2020-2024,B10050_008,Five years or more,15,16,31,26,48.38709677419355,31.88940424788686,16.497692526306693,80.27650102208041,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1336024,"Hagan city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1336052,"Hahira city, Georgia",2020-2024,B10050_008,Five years or more,0,14,23,38,0,60.86956521739131,0,60.86956521739131,Unavailable MOE or zero percentage,Pass
Georgia place,1336220,"Hamilton city, Georgia",2020-2024,B10050_008,Five years or more,0,14,5,9,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1336276,"Hampton city, Georgia",2020-2024,B10050_008,Five years or more,70,54,126,89,55.55555555555556,17.228747823398592,38.326807732156965,72.78430337895415,Caregiver count MOE exceeds 50% of estimate,Pass
Georgia place,1336416,"Hannahs Mill CDP, Georgia",2020-2024,B10050_008,Five years or more,6,10,57,66,10.526315789473683,12.618666892599457,0,23.14498268207314,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1336472,"Hapeville city, Georgia",2020-2024,B10050_008,Five years or more,0,20,0,20,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1336528,"Haralson town, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1336668,"Hardwick CDP, Georgia",2020-2024,B10050_008,Five years or more,9,16,38,43,23.684210526315788,32.474351263693855,0,56.15856179000964,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1336696,"Harlem city, Georgia",2020-2024,B10050_008,Five years or more,165,141,165,141,100,120.8509771482463,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1336920,"Harrison town, Georgia",2020-2024,B10050_008,Five years or more,0,14,2,4,0,700,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1337144,"Hartwell city, Georgia",2020-2024,B10050_008,Five years or more,39,60,90,73,43.333333333333336,56.64849623953203,0,99.98182957286537,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1337396,"Hawkinsville city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1337564,"Hazlehurst city, Georgia",2020-2024,B10050_008,Five years or more,49,67,49,67,100,193.37205852856604,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1337788,"Helen city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1337910,"Henderson CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1338040,"Hephzibah city, Georgia",2020-2024,B10050_008,Five years or more,39,37,39,37,100,134.16897899437058,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1338105,"Heron Bay CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,29,40,0,48.27586206896552,0,48.27586206896552,Unavailable MOE or zero percentage,Pass
Georgia place,1338124,"Hiawassee city, Georgia",2020-2024,B10050_008,Five years or more,15,23,80,84,18.75,20.95148786482717,0,39.70148786482717,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1338292,"Hickox CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1338348,"Higgston town, Georgia",2020-2024,B10050_008,Five years or more,0,14,2,6,0,700,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1338866,"Hilltop CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1338920,"Hiltonia town, Georgia",2020-2024,B10050_008,Five years or more,5,8,5,8,100,226.2741699796952,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1339076,"Hiram city, Georgia",2020-2024,B10050_008,Five years or more,0,20,13,27,0,153.84615384615387,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1339216,"Hoboken city, Georgia",2020-2024,B10050_008,Five years or more,3,5,3,5,100,235.70226039551585,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1339244,"Hogansville city, Georgia",2020-2024,B10050_008,Five years or more,0,14,11,18,0,127.27272727272728,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1339524,"Holly Springs city, Georgia",2020-2024,B10050_008,Five years or more,48,64,48,64,100,188.56180831641268,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1339692,"Homeland city, Georgia",2020-2024,B10050_008,Five years or more,0,14,2,3,0,700,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1339720,"Homer town, Georgia",2020-2024,B10050_008,Five years or more,0,14,7,12,0,200,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1339748,"Homerville city, Georgia",2020-2024,B10050_008,Five years or more,14,18,14,18,100,181.8274580193979,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1340028,"Hortense CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1340056,"Hoschton city, Georgia",2020-2024,B10050_008,Five years or more,0,14,34,32,0,41.17647058823529,0,41.17647058823529,Unavailable MOE or zero percentage,Pass
Georgia place,1340196,"Howard CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1340532,"Hull city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1340812,"Ideal city, Georgia",2020-2024,B10050_008,Five years or more,11,16,54,58,20.37037037037037,19.98028442606207,0.39008594430829646,40.35065479643245,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1340840,"Ila city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1341036,"Indian Springs CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1341344,"Iron City town, Georgia",2020-2024,B10050_008,Five years or more,6,9,6,9,100,212.13203435596424,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1341347,"Irondale CDP, Georgia",2020-2024,B10050_008,Five years or more,75,59,275,225,27.27272727272727,30.955037225341748,0,58.22776449806902,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1341400,"Irwinton city, Georgia",2020-2024,B10050_008,Five years or more,2,4,5,5,40,69.2820323027551,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1341484,"Isle of Hope CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1341540,"Ivey city, Georgia",2020-2024,B10050_008,Five years or more,16,18,16,18,100,159.0990257669732,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1341596,"Jackson city, Georgia",2020-2024,B10050_008,Five years or more,9,25,9,25,100,392.8371006591931,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1341708,"Jacksonville city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1341792,"Jakin city, Georgia",2020-2024,B10050_008,Five years or more,2,3,2,3,100,212.13203435596424,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1341932,"Jasper city, Georgia",2020-2024,B10050_008,Five years or more,46,51,81,58,56.79012345679012,48.070057972966254,8.720065483823866,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1341988,"Jefferson city, Georgia",2020-2024,B10050_008,Five years or more,37,34,106,74,34.90566037735849,20.857407889316654,14.048252488041827,55.76306826667515,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1342100,"Jeffersonville city, Georgia",2020-2024,B10050_008,Five years or more,17,19,17,19,100,158.05916285346356,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1342128,"Jekyll Island CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1342156,"Jenkinsburg city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1342184,"Jersey city, Georgia",2020-2024,B10050_008,Five years or more,0,14,22,33,0,63.63636363636363,0,63.63636363636363,Unavailable MOE or zero percentage,Pass
Georgia place,1342268,"Jesup city, Georgia",2020-2024,B10050_008,Five years or more,10,25,15,26,66.66666666666666,120.10283659441475,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1342425,"Johns Creek city, Georgia",2020-2024,B10050_008,Five years or more,106,92,207,117,51.20772946859904,33.728066832837285,17.479662635761755,84.93579630143633,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1342604,"Jonesboro city, Georgia",2020-2024,B10050_008,Five years or more,0,20,0,20,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1342772,"Juliette CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1342800,"Junction City town, Georgia",2020-2024,B10050_008,Five years or more,1,3,2,4,50,111.80339887498948,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1343192,"Kennesaw city, Georgia",2020-2024,B10050_008,Five years or more,70,75,262,160,26.717557251908396,23.52086861617401,3.196688635734386,50.2384258680824,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1343210,"Kennesaw State University CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1343360,"Keysville city, Georgia",2020-2024,B10050_008,Five years or more,3,7,3,7,100,329.9831645537222,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1343580,"Kings Bay Base CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1343640,"Kingsland city, Georgia",2020-2024,B10050_008,Five years or more,9,14,89,82,10.112359550561797,12.674261889802596,0,22.786621440364392,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1343668,"Kingston city, Georgia",2020-2024,B10050_008,Five years or more,0,14,15,19,0,93.33333333333331,0,93.33333333333331,Unavailable MOE or zero percentage,Pass
Georgia place,1343892,"Kite city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1344060,"Knoxville CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1344312,"LaFayette city, Georgia",2020-2024,B10050_008,Five years or more,160,166,160,166,100,146.7246570962086,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1344508,"Lake City city, Georgia",2020-2024,B10050_008,Five years or more,0,14,11,14,0,127.27272727272728,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1344592,"Lakeland city, Georgia",2020-2024,B10050_008,Five years or more,0,14,61,59,0,22.950819672131143,0,22.950819672131143,Unavailable MOE or zero percentage,Pass
Georgia place,1344704,"Lake Park city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1344900,"Lakeview CDP, Georgia",2020-2024,B10050_008,Five years or more,51,73,62,75,82.25806451612904,62.94262801106252,19.31543650506652,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1344956,"Lakeview Estates CDP, Georgia",2020-2024,B10050_008,Five years or more,45,79,45,79,100,248.27304761661003,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1345460,"Lavonia city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1345488,"Lawrenceville city, Georgia",2020-2024,B10050_008,Five years or more,16,18,181,118,8.83977900552486,8.104720172417098,0.7350588331077628,16.944499177941957,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1345600,"Leary city, Georgia",2020-2024,B10050_008,Five years or more,3,6,3,6,100,282.84271247461896,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1345768,"Leesburg city, Georgia",2020-2024,B10050_008,Five years or more,22,28,99,121,22.22222222222222,7.888342711921696,14.333879510300523,30.110564934143916,Caregiver count MOE exceeds 50% of estimate,Pass
Georgia place,1345936,"Lenox town, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1346020,"Leslie city, Georgia",2020-2024,B10050_008,Five years or more,1,3,1,3,100,424.2640687119285,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1346188,"Lexington city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1346356,"Lilburn city, Georgia",2020-2024,B10050_008,Five years or more,0,23,20,29,0,115,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1346384,"Lilly city, Georgia",2020-2024,B10050_008,Five years or more,3,5,3,5,100,235.70226039551585,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1346524,"Lincoln Park CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1346552,"Lincolnton city, Georgia",2020-2024,B10050_008,Five years or more,3,6,3,6,100,282.84271247461896,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1346580,"Lindale CDP, Georgia",2020-2024,B10050_008,Five years or more,23,35,40,45,57.49999999999999,58.9217900589417,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1346832,"Lithia Springs CDP, Georgia",2020-2024,B10050_008,Five years or more,7,18,58,74,12.06896551724138,26.944951096983573,0,39.013916614224954,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1346860,"Lithonia city, Georgia",2020-2024,B10050_008,Five years or more,15,19,62,51,24.193548387096776,23.303869903686035,0.8896784834107407,47.49741829078281,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1347140,"Locust Grove city, Georgia",2020-2024,B10050_008,Five years or more,7,19,215,143,3.255813953488372,8.567782691886036,0,11.823596645374408,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1347196,"Loganville city, Georgia",2020-2024,B10050_008,Five years or more,50,57,50,57,100,161.22034611053283,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1347252,"Lone Oak town, Georgia",2020-2024,B10050_008,Five years or more,0,14,33,37,0,42.42424242424242,0,42.42424242424242,Unavailable MOE or zero percentage,Pass
Georgia place,1347336,"Lookout Mountain city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1347560,"Louisville city, Georgia",2020-2024,B10050_008,Five years or more,12,18,12,18,100,212.13203435596424,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1347616,"Lovejoy city, Georgia",2020-2024,B10050_008,Five years or more,35,57,116,87,30.17241379310345,43.617090453938616,0,73.78950424704206,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1347784,"Ludowici city, Georgia",2020-2024,B10050_008,Five years or more,9,15,21,24,42.857142857142854,51.99077225655918,0,94.84791511370204,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1347896,"Lula city, Georgia",2020-2024,B10050_008,Five years or more,43,38,43,38,100,124.97701248878516,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1347952,"Lumber City city, Georgia",2020-2024,B10050_008,Five years or more,2,3,2,3,100,212.13203435596424,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1347980,"Lumpkin city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1348008,"Luthersville city, Georgia",2020-2024,B10050_008,Five years or more,7,13,7,13,100,262.63966158357476,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1348092,"Lyerly town, Georgia",2020-2024,B10050_008,Five years or more,0,14,5,6,0,280,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1348232,"Lyons city, Georgia",2020-2024,B10050_008,Five years or more,52,76,85,98,61.1764705882353,54.95068370053842,6.225786887696877,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1348428,"McCaysville city, Georgia",2020-2024,B10050_008,Five years or more,23,37,32,41,71.875,69.91853333058829,1.9564666694117108,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1348624,"McDonough city, Georgia",2020-2024,B10050_008,Five years or more,92,94,203,155,45.320197044334975,30.76928119642956,14.550915847905417,76.08947824076454,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1348848,"McIntyre town, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1349100,"McRae-Helena city, Georgia",2020-2024,B10050_008,Five years or more,6,12,33,43,18.181818181818183,27.586749899989083,0,45.76856808180727,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1349196,"Madison city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1349504,"Manassas city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1349532,"Manchester city, Georgia",2020-2024,B10050_008,Five years or more,17,18,17,18,100,149.74025954538652,0,100,Percentage MOE exceeds 50% of estimate,Pass
Georgia place,1349588,"Manor CDP, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1349616,"Mansfield city, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
Georgia place,1349924,"Marshallville city, Georgia",2020-2024,B10050_008,Five years or more,0,14,11,17,0,127.27272727272728,0,100,Unavailable MOE or zero percentage,Pass
Georgia place,1350008,"Martin town, Georgia",2020-2024,B10050_008,Five years or more,0,14,0,14,NA,NA,NA,NA,Missing input or nonpositive denominator,Pass
